Chr	Start	End	Count	Distance	Surf_1mb
1	0	100000	28	0	0
1	100000	200000	13	0	0
1	200000	300000	10	0	0
1	300000	400000	20	0	0
1	400000	500000	28	0	0
1	500000	600000	26	0	0
1	600000	700000	23	0	0
1	700000	800000	25	0	0.04
1	800000	900000	31	0	0
1	900000	1000000	33	0	0.0606060606060606
1	1000000	1100000	44	0	0.0454545454545455
1	1100000	1200000	40	0	0
1	1200000	1300000	35	0	0
1	1300000	1400000	30	0	0.0333333333333333
1	1400000	1500000	42	0	0.0238095238095238
1	1500000	1600000	37	0	0
1	1600000	1700000	32	0	0
1	1700000	1800000	13	0	0
1	1800000	1900000	41	0	0.0487804878048781
1	1900000	2000000	37	0	0.027027027027027
1	2000000	2100000	34	0	0.0882352941176471
1	2100000	2200000	41	0	0.024390243902439
1	2200000	2300000	59	0	0.0169491525423729
1	2300000	2400000	54	0	0.0185185185185185
1	2400000	2500000	67	0	0.0149253731343284
1	2500000	2600000	46	0	0.0217391304347826
1	2600000	2700000	12	0	0
1	2700000	2800000	65	0	0
1	2800000	2900000	56	0	0
1	2900000	3000000	41	0	0
1	3000000	3100000	60	0	0.0333333333333333
1	3100000	3200000	46	0	0.0434782608695652
1	3200000	3300000	55	0	0
1	3300000	3400000	38	0	0
1	3400000	3500000	63	0	0.0317460317460317
1	3500000	3600000	38	0	0.0263157894736842
1	3600000	3700000	44	0	0.0227272727272727
1	3700000	3800000	25	0	0
1	3800000	3900000	15	0	0.0666666666666667
1	4000000	4100000	60	0	0
1	4100000	4200000	55	0	0.0181818181818182
1	4200000	4300000	30	0	0
1	4300000	4400000	53	0	0
1	4400000	4500000	49	0	0.0612244897959184
1	4500000	4600000	59	0	0
1	4600000	4700000	47	0	0
1	4700000	4800000	46	0	0
1	4800000	4900000	47	0	0.0638297872340425
1	4900000	5000000	34	0	0.0294117647058824
1	5000000	5100000	38	0	0.0526315789473684
1	5100000	5200000	22	0	0.0454545454545455
1	5200000	5300000	37	0	0
1	5300000	5400000	38	0	0.0263157894736842
1	5400000	5500000	62	0	0.032258064516129
1	5500000	5600000	43	0	0.0465116279069767
1	5600000	5700000	36	0	0
1	5700000	5800000	39	0	0.0512820512820513
1	5800000	5900000	47	0	0.0425531914893617
1	5900000	6000000	49	0	0
1	6000000	6100000	41	0	0.0731707317073171
1	6100000	6200000	45	0	0.0222222222222222
1	6200000	6300000	30	0	0
1	6300000	6400000	55	0	0.0181818181818182
1	6400000	6500000	40	0	0.025
1	6500000	6600000	45	0	0.0222222222222222
1	6600000	6700000	30	0	0.1
1	6700000	6800000	28	0	0.0357142857142857
1	6800000	6900000	18	0	0.0555555555555556
1	6900000	7000000	30	0	0.0333333333333333
1	7000000	7100000	29	0	0.0689655172413793
1	7100000	7200000	37	0	0.027027027027027
1	7200000	7300000	29	0	0.0344827586206897
1	7300000	7400000	31	0	0.032258064516129
1	7400000	7500000	47	0	0
1	7500000	7600000	44	0	0.0227272727272727
1	7600000	7700000	57	0	0.0350877192982456
1	7700000	7800000	40	0	0
1	7800000	7900000	27	0	0.0740740740740741
1	7900000	8000000	19	0	0.0526315789473684
1	8000000	8100000	29	0	0.0344827586206897
1	8100000	8200000	25	0	0.04
1	8200000	8300000	25	0	0.04
1	8300000	8400000	28	0	0.0357142857142857
1	8400000	8500000	21	0	0.0476190476190476
1	8500000	8600000	30	0	0
1	8600000	8700000	13	0	0
1	8700000	8800000	15	0	0
1	8800000	8900000	14	0	0
